"Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
0,0,0,0,"378,551",2023
0,0,0,0,0,2023
"7,964,943","7,964,943","8,232,891","8,232,891","741,032",2023
0,0,0,0,0,2023
"1,633,809","1,633,809","1,688,892","1,688,892","175,593",2023
0,0,0,0,0,2023
"767,564","767,564","796,126","796,126","62,725",2023
0,0,0,0,0,2023
"18,562","18,562","108,124","108,124","11,287",2023
0,0,"382,806","382,806","112,194",2023
0,0,0,0,0,2023
0,0,0,0,"558,616",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"10,339,739","10,339,739","10,673,723","10,673,723","938,919",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"122,128","122,128","126,266","126,266","11,476",2023
0,0,0,0,0,2023
0,0,"855,120","855,120","250,621",2023
0,0,"150,224","150,224","44,028",2023
0,0,"459,508","459,508","134,674",2023
0,0,"159,399","159,399","46,717",2023
0,0,"282,036","282,036","82,660",2023
0,0,"1,186,519","1,186,519","347,749",2023
0,0,"425,987","425,987","124,850",2023
0,0,"528,962","528,962","155,030",2023
0,0,"221,678","221,678","64,970",2023
0,0,"790,064","790,064","231,554",2023
"3,216","3,216","18,732","18,732","1,825",2023
0,0,0,0,"3,028",2023
"177,443","177,443","182,091","182,091","17,219",2023
"255,106","255,106","262,759","262,759","20,663",2023
43,43,246,246,0,2023
0,0,"229,849","229,849","67,365",2023
0,0,"1,923,484","1,923,484","563,741",2023
0,0,"47,090","47,090","13,801",2023
0,0,"1,569,178","1,569,178","459,900",2023
0,0,"12,030","12,030","3,526",2023
0,0,"1,643,937","1,643,937","481,810",2023
0,0,"2,289,353","2,289,353","670,971",2023
0,0,"431,180","431,180","126,372",2023
0,0,"235,658","235,658","69,067",2023
0,0,"2,861,545","2,861,545","838,671",2023
0,0,"3,957,089","3,957,089","1,159,756",2023
0,0,"4,961,395","4,961,395","1,454,102",2023
0,0,0,0,0,2023
0,0,"304,445","304,445","89,228",2023
0,0,0,0,"205,041",2023
0,0,"1,836,546","1,836,546","538,261",2023
0,0,"28,138","28,138","8,213",2023
0,0,"3,054,219","3,054,219","895,140",2023
0,0,"380,099","380,099","111,388",2023
0,0,"1,146,989","1,146,989","336,163",2023
0,0,"238,385","238,385","69,866",2023
0,0,"5,936,392","5,936,392","1,739,857",2023
"90,890","90,890",0,0,"-86,926",2023
0,0,"1,338,252","1,338,252","392,219",2023
"558,390","558,390",0,0,"-280,710",2023
0,0,"697,168","697,168","204,328",2023
0,0,"688,087","688,087","201,667",2023
0,0,"5,784,020","5,784,020","1,695,199",2023
0,0,"944,243","944,243","276,742",2023
0,0,"9,258","9,258","2,713",2023
90,90,515,515,-189,2023
0,0,0,0,0,2023
"440,990","440,990","2,557,742","2,557,742","7,434",2023
"110,841","110,841","117,490","117,490",341,2023
0,0,0,0,0,2023
"2,784","2,784",0,0,"80,670",2023
0,0,0,0,"1,136,101",2023
"20,403,709","20,403,709","21,136,223","21,136,223","1,874,669",2023
0,0,0,0,0,2023
"5,821,181","5,821,181","6,156,443","6,156,443","548,736",2023
"1,293,803","1,293,803","1,296,038","1,296,038","130,598",2023
"3,743,905","3,743,905","65,843,095","65,843,095","6,637,334",2023
"6,775","6,775","39,296","39,296","16,310",2023
"34,833","34,833","42,497","42,497","17,638",2023
0,0,0,0,0,2023
0,0,"3,842","3,842","1,126",2023
0,0,"83,043","83,043","24,338",2023
"94,474","94,474","96,688","96,688","6,609",2023
0,0,"24,180","24,180","7,087",2023
0,0,"14,040","14,040","4,115",2023
0,0,"17,702","17,702","5,188",2023
0,0,"4,877","4,877","1,429",2023
0,0,0,0,0,2023
0,0,"78,895","78,895","23,123",2023
0,0,0,0,0,2023
0,0,"39,316","39,316","11,519",2023
"7,739","7,739","43,880","43,880","3,963",2023
"1,309,056","1,309,056","1,340,866","1,340,866","126,318",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
245,245,"1,397","1,397",84,2023
"428,940","428,940","439,258","439,258","31,130",2023
0,0,"49,959","49,959","14,642",2023
0,0,"5,148","5,148","1,509",2023
37,37,211,211,20,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,"277,560","277,560","81,348",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,"39,531","39,531","11,586",2023
0,0,"1,472,402","1,472,402","431,536",2023
0,0,0,0,0,2023
47,47,261,261,26,2023
0,0,0,0,0,2023
0,0,"583,521","583,521","171,020",2023
0,0,"362,129","362,129","106,134",2023
0,0,"934,525","934,525","273,894",2023
0,0,"14,480","14,480","4,244",2023
0,0,"160,598","160,598","47,069",2023
0,0,0,0,0,2023
0,0,"828,417","828,417","242,795",2023
"41,324","41,324",0,0,"-41,145",2023
0,0,"636,086","636,086","186,426",2023
0,0,"63,503","63,503","18,612",2023
0,0,"109,188","109,188","32,001",2023
"1,183,130","1,183,130","26,308,429","26,308,429","2,437,134",2023
